Alt_km,Temp_K,pressure_pa,density_kgpm3,speedOfSound_mps,viscosity_pas
695,999.968,3.3171E-08,3.255E-14,633.93,4.1521E-05
700,999.97,3.1908E-08,3.0698E-14,633.93,4.1521E-05
705,999.973,3.072E-08,2.8976E-14,633.93,4.1521E-05
710,999.975,2.96E-08,2.7374E-14,633.93,4.1521E-05
715,999.977,2.8543E-08,2.5882E-14,633.93,4.1521E-05
720,999.978,2.7546E-08,2.4491E-14,633.93,4.1521E-05
725,999.98,2.6605E-08,2.3196E-14,633.93,4.1521E-05
730,999.982,2.5714E-08,2.1987E-14,633.93,4.1522E-05
735,999.983,2.4871E-08,2.0858E-14,633.93,4.1522E-05
740,999.984,2.4072E-08,1.9805E-14,633.93,4.1522E-05
745,999.985,2.3314E-08,1.882E-14,633.93,4.1522E-05
750,999.986,2.2595E-08,1.79E-14,633.93,4.1522E-05
755,999.987,2.1912E-08,1.7039E-14,633.93,4.1522E-05
760,999.988,2.1263E-08,1.6233E-14,633.93,4.1522E-05
765,999.989,2.0644E-08,1.5478E-14,633.93,4.1522E-05
770,999.99,2.0055E-08,1.4771E-14,633.93,4.1522E-05
775,999.991,1.9493E-08,1.4108E-14,633.93,4.1522E-05
780,999.992,1.8957E-08,1.3487E-14,633.93,4.1522E-05
785,999.992,1.8445E-08,1.2903E-14,633.93,4.1522E-05
790,999.993,1.7955E-08,1.2356E-14,633.93,4.1522E-05
795,999.993,1.7485E-08,1.1841E-14,633.93,4.1522E-05
800,999.994,1.7036E-08,1.1358E-14,633.93,4.1522E-05
805,999.994,1.6604E-08,1.0904E-14,633.93,4.1522E-05
810,999.995,1.619E-08,1.0477E-14,633.93,4.1522E-05
815,999.995,1.5793E-08,1.0074E-14,633.93,4.1522E-05
820,999.995,1.5411E-08,9.6947E-15,633.93,4.1522E-05
825,999.996,1.5044E-08,9.337E-15,633.93,4.1522E-05
830,999.996,1.469E-08,8.9992E-15,633.93,4.1522E-05
835,999.996,1.435E-08,8.6801E-15,633.93,4.1522E-05
840,999.997,1.4023E-08,8.3783E-15,633.93,4.1522E-05
845,999.997,1.3707E-08,8.0928E-15,633.93,4.1522E-05
850,999.997,1.3403E-08,7.8223E-15,633.93,4.1522E-05
855,999.997,1.311E-08,7.5659E-15,633.93,4.1522E-05
860,999.997,1.2827E-08,7.3227E-15,633.93,4.1522E-05
865,999.998,1.2553E-08,7.0917E-15,633.93,4.1522E-05
870,999.998,1.2289E-08,6.8723E-15,633.93,4.1522E-05
875,999.998,1.2033E-08,6.6635E-15,633.93,4.1522E-05
880,999.998,1.1786E-08,6.4649E-15,633.93,4.1522E-05
885,999.998,1.1547E-08,6.2757E-15,633.93,4.1522E-05
890,999.998,1.1315E-08,6.0952E-15,633.93,4.1522E-05
895,999.999,1.1091E-08,5.9231E-15,633.93,4.1522E-05
900,999.999,1.0873E-08,5.7587E-15,633.93,4.1522E-05
905,999.999,1.0662E-08,5.6016E-15,633.93,4.1522E-05
910,999.999,1.0457E-08,5.4514E-15,633.93,4.1522E-05
915,999.999,1.0258E-08,5.3075E-15,633.94,4.1522E-05
920,999.999,1.0064E-08,5.1698E-15,633.94,4.1522E-05
925,999.999,9.8752E-09,5.0377E-15,633.94,4.1522E-05
930,999.999,9.6915E-09,4.9111E-15,633.94,4.1522E-05
935,999.999,9.5126E-09,4.7895E-15,633.94,4.1522E-05
940,999.999,9.338E-09,4.6728E-15,633.94,4.1522E-05
945,999.999,9.1677E-09,4.5605E-15,633.94,4.1522E-05
950,999.999,9.0013E-09,4.4525E-15,633.94,4.1522E-05
955,999.999,8.8387E-09,4.3486E-15,633.94,4.1522E-05
960,999.999,8.6796E-09,4.2484E-15,633.94,4.1522E-05
965,999.999,8.5239E-09,4.1519E-15,633.94,4.1522E-05
970,1000,8.3713E-09,4.0587E-15,633.94,4.1522E-05
975,1000,8.2218E-09,3.9687E-15,633.94,4.1522E-05
980,1000,8.0751E-09,3.8818E-15,633.94,4.1522E-05
985,1000,7.9311E-09,3.7977E-15,633.94,4.1522E-05
990,1000,7.7896E-09,3.7163E-15,633.94,4.1522E-05
995,1000,7.6505E-09,3.6375E-15,633.94,4.1522E-05
1000,1000,7.5138E-09,3.5611E-15,633.94,4.1522E-05
